well,qPCR_plate,qPCR_replicate,sample_ID,primer,day_frozen,treatment,sex,p47_35_cycle_result,p47_30_cycle_result,band_strength_35_cycles,band_strength_30_cycles,115_1ng_30_PCR_result,115_30_cycle_PCR_result,115_1ng_30_PCR_band,115_30_cycle_PCR_band,Cq
C02,plate_2,2,143,TPI,day10,SP,male,yes,yes,strong,mid-weak,no,yes,none,mid-strong,24.32
C03,plate_2,3,143,TPI,day10,SP,male,yes,yes,strong,mid-weak,no,yes,none,mid-strong,24.37
C04,plate_2,1,150,TPI,day10,16Cq DiNV,male,yes,yes,strong,strong,yes,yes,strong,strong,28.16
C05,plate_2,2,150,TPI,day10,16Cq DiNV,male,yes,yes,strong,strong,yes,yes,strong,strong,28.48
C06,plate_2,3,150,TPI,day10,16Cq DiNV,male,yes,yes,strong,strong,yes,yes,strong,strong,28.57
C07,plate_2,1,158,TPI,day10,16Cq DiNV,male,yes,yes,strong,mid-strong,no,yes,none,strong,24.68
C08,plate_2,2,158,TPI,day10,16Cq DiNV,male,yes,yes,strong,mid-strong,no,yes,none,strong,24.74
C09,plate_2,3,158,TPI,day10,16Cq DiNV,male,yes,yes,strong,mid-strong,no,yes,none,strong,24.66
C10,plate_2,1,173,TPI,day10,16Cq DiNV,female,yes,yes,mid-strong,weak,no,yes,none,mid-weak,24.14
C11,plate_2,2,173,TPI,day10,16Cq DiNV,female,yes,yes,mid-strong,weak,no,yes,none,mid-weak,24.23
C12,plate_2,3,173,TPI,day10,16Cq DiNV,female,yes,yes,mid-strong,weak,no,yes,none,mid-weak,24.30
D01,plate_2,1,84,115,day5,SP,male,yes,yes,strong,mid-weak,no,yes,none,mid-weak,30.74
D02,plate_2,2,84,115,day5,SP,male,yes,yes,strong,mid-weak,no,yes,none,mid-weak,30.48
D03,plate_2,3,84,115,day5,SP,male,yes,yes,strong,mid-weak,no,yes,none,mid-weak,30.80
D04,plate_2,1,87,115,day5,SP,male,maybe,no,weak,none,no,no,none,none,30.89
D05,plate_2,2,87,115,day5,SP,male,maybe,no,weak,none,no,no,none,none,30.64
D06,plate_2,3,87,115,day5,SP,male,maybe,no,weak,none,no,no,none,none,30.73
D07,plate_2,1,89,115,day5,SP,female,yes,yes,strong,mid-strong,no,yes,none,strong,29.67
D08,plate_2,2,89,115,day5,SP,female,yes,yes,strong,mid-strong,no,yes,none,strong,29.77
D09,plate_2,3,89,115,day5,SP,female,yes,yes,strong,mid-strong,no,yes,none,strong,29.86
D10,plate_2,1,94,115,day5,16Cq DiNV,male,yes,no,mid-strong,none,no,maybe,none,weak,32.03
D11,plate_2,2,94,115,day5,16Cq DiNV,male,yes,no,mid-strong,none,no,maybe,none,weak,31.83
D12,plate_2,3,94,115,day5,16Cq DiNV,male,yes,no,mid-strong,none,no,maybe,none,weak,31.88
E01,plate_2,1,98,115,day5,16Cq DiNV,male,yes,yes,strong,mid-strong,yes,yes,mid-weak,strong,27.08
E02,plate_2,2,98,115,day5,16Cq DiNV,male,yes,yes,strong,mid-strong,yes,yes,mid-weak,strong,26.98
E03,plate_2,3,98,115,day5,16Cq DiNV,male,yes,yes,strong,mid-strong,yes,yes,mid-weak,strong,27.44
E04,plate_2,1,117,115,day5,16Cq DiNV,female,maybe,no,weak,none,no,no,none,none,31.43
E05,plate_2,2,117,115,day5,16Cq DiNV,female,maybe,no,weak,none,no,no,none,none,31.84
E06,plate_2,3,117,115,day5,16Cq DiNV,female,maybe,no,weak,none,no,no,none,none,31.74
E07,plate_2,1,142,115,day10,SP,male,yes,no,mid-strong,none,no,maybe,none,weak,31.07
E08,plate_2,2,142,115,day10,SP,male,yes,no,mid-strong,none,no,maybe,none,weak,31.27
E09,plate_2,3,142,115,day10,SP,male,yes,no,mid-strong,none,no,maybe,none,weak,30.77
E10,plate_2,1,147,115,day10,SP,female,yes,no,mid-weak,none,no,no,none,none,31.67
E11,plate_2,2,147,115,day10,SP,female,yes,no,mid-weak,none,no,no,none,none,31.36
E12,plate_2,3,147,115,day10,SP,female,yes,no,mid-weak,none,no,no,none,none,31.72
F01,plate_2,1,143,115,day10,SP,male,yes,yes,strong,mid-weak,no,yes,none,mid-strong,30.72
F02,plate_2,2,143,115,day10,SP,male,yes,yes,strong,mid-weak,no,yes,none,mid-strong,30.99
F03,plate_2,3,143,115,day10,SP,male,yes,yes,strong,mid-weak,no,yes,none,mid-strong,30.33
F04,plate_2,1,150,115,day10,16Cq DiNV,male,yes,yes,strong,strong,yes,yes,strong,strong,17.59
F05,plate_2,2,150,115,day10,16Cq DiNV,male,yes,yes,strong,strong,yes,yes,strong,strong,17.53
F06,plate_2,3,150,115,day10,16Cq DiNV,male,yes,yes,strong,strong,yes,yes,strong,strong,17.56
F07,plate_2,1,158,115,day10,16Cq DiNV,male,yes,yes,strong,mid-strong,no,yes,none,strong,29.98
F08,plate_2,2,158,115,day10,16Cq DiNV,male,yes,yes,strong,mid-strong,no,yes,none,strong,30.06
F09,plate_2,3,158,115,day10,16Cq DiNV,male,yes,yes,strong,mid-strong,no,yes,none,strong,29.39
F10,plate_2,1,173,115,day10,16Cq DiNV,female,yes,yes,mid-strong,weak,no,yes,none,mid-weak,31.63
F11,plate_2,2,173,115,day10,16Cq DiNV,female,yes,yes,mid-strong,weak,no,yes,none,mid-weak,31.37
F12,plate_2,3,173,115,day10,16Cq DiNV,female,yes,yes,mid-strong,weak,no,yes,none,mid-weak,31.86
