tube,replicate,treatment,day frozen,dead?,p47 result,TPI result,CO1 result
132,B,0.01 FFU,day14,no,yes,yes,yes
136,B,0.05 FFU,day14,no,yes,yes,yes
137,B,0.05 FFU,day14,no,yes,yes,yes
138,B,0.05 FFU,day14,no,yes,yes,yes
140,B,0.05 FFU,day14,no,no,yes,no
144,B,0.005 FFU,day14,yes,yes,yes,yes
146,B,0.005 FFU,day14,yes,no,yes,yes
148,B,0.05 FFU,day14,yes,yes,yes,yes
ex ctrl 2,B,NA,NA,NA,no,no,NA
ex ctrl 3,B,NA,NA,NA,no,yes,no
67,B,CCM,day14,no,no,yes,yes
68,B,CCM,day14,no,no,yes,yes
69,B,CCM,day14,no,no,yes,yes
70,B,CCM,day14,no,no,yes,yes
71,B,CCM,day14,no,no,yes,yes
72,B,CCM,day14,no,no,yes,yes
73,B,CCM,day14,no,no,yes,yes
82,B,CCM,day14,no,no,yes,yes
83,B,CCM,day14,no,no,yes,yes
84,B,CCM,day14,no,no,yes,yes
85,B,CCM,day14,no,no,yes,yes
86,B,CCM,day14,no,no,yes,yes
87,B,CCM,day14,no,no,yes,yes
88,B,CCM,day14,no,no,yes,yes
89,B,CCM,day14,no,no,yes,yes
99,B,0.005 FFU,day14,no,no,yes,yes
100,B,0.005 FFU,day14,no,yes,yes,yes
101,B,0.005 FFU,day14,no,no,yes,yes
102,B,0.005 FFU,day14,no,yes,yes,yes
103,B,0.005 FFU,day14,no,no,yes,yes
104,B,0.005 FFU,day14,no,yes,yes,yes
111,B,0.005 FFU,day14,no,no,yes,yes
112,B,0.005 FFU,day14,no,no,yes,yes
