cell,day,infection_status,delta_Cq,Delta_Cq_2
Dv1,0,yes,-4.52,0.04358574
Myd88,0,yes,-6.676667,0.009775139
Dv1,0,no,-7.99,0.00393342
Myd88,0,no,-6.74,0.009355302
Dv1,5,yes,-2.98,0.126744935
Myd88,5,yes,-5.38,0.024013675
Dv1,5,no,-8.353333,0.003057709
Myd88,5,no,NA,NA
Dv1,5,yes,-3.406667,0.094295517
Myd88,5,yes,NA,NA
Dv1,5,no,-8.713333,0.002382459
Myd88,5,no,NA,NA
Dv1,5,yes,-3.746667,0.074497354
Myd88,5,yes,NA,NA
Dv1,5,no,-9.19,0.001712121
Myd88,5,no,NA,NA
